Frequency Rank,Kana,Word,Meaning,Noun,Verb,Adjective,Suffix,Particle,Te Form,Desire,Past,Volitional,Potential,Nominalized,Passive,Expressions,Pronoun,Negative,Color,Weather,Season,School,Work,Recreation,Food,Time,People and the human body,Health and ailments,Family and relationships,Emotions,City,Home,Sense,Animal,Nature,Occupation,Size,Numbers and Quantities ,Hobby,Technology,Media,Interact,Art,Movement,Ability,Position,Attire,Geography,"Language, Speech, Communication",Money,Travel,Society,Concepts,Violence,Traits and Conditions
4489,あおい,青い,blue,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,あき,秋,"autumn, fall",1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3243,あかい,赤い,red,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,は,は,"subject particle
to wear/to put on (a sword)
to stick/to paste",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
7947,あかるい,明るい,bright,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,あさ,朝,morning,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,あたたかい,暖かい,warm,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,が,が,"subject particle
. . . , but",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,あたらしい,新しい,"new, fresh",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ある,ある,"one . . .
to be (usu. of inanimate objects), to exist, to be located, to have, to possess, to take place",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,あつい,暑い,"hot (weather, etc), warm",,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,あさごはん,朝御飯,breakfast,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11165,あつい,熱い,"hot (things), heated",,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,あめ,雨,rain,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14091,あつい,厚い,thick,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
20001,あさって,明後日,the day after tomorrow,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,あぶない,危ない,dangerous,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
35,か,か,"question particle
or",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9400,あまい,甘い,sweet,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,あし,足,"foot, leg",1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,いい,良い,"good, right, excellent, fine, suitable",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,の,の,possession particle,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,いそがしい,忙しい,"be busy, be engaged",,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3429,あした,明日,tomorrow,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,いたい,痛い,"be painful, be sore, hurts",,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
