word count,Sentence,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18
1,あ！,"あ, ah, oh, hey",,,,,,,,,,,,,,,,,
1,お！,"お, politeness/respect prefix",,,,,,,,,,,,,,,,,
1,が！,"が, Subject particle
. . . , but",,,,,,,,,,,,,,,,,
1,か。,"か, Question particle
or",,,,,,,,,,,,,,,,,
1,さ！,"さ, to raise (stretch out) hands, to raise umbrella",,,,,,,,,,,,,,,,,
1,た。,"た, PAST",,,,,,,,,,,,,,,,,
1,て。,"て, TE FORM",,,,,,,,,,,,,,,,,
1,で。,"で, Movement: at place, by way of
by (means of transportation); with (a tool)",,,,,,,,,,,,,,,,,
1,と！,"と, And
together with (a person)
to take off",,,,,,,,,,,,,,,,,
1,ね！,"ね, Right?",,,,,,,,,,,,,,,,,
1,の。,"の, Possession particle",,,,,,,,,,,,,,,,,
1,は！,"は, Subject particle
to wear/to put on (a sword)
to stick/to paste",,,,,,,,,,,,,,,,,
1,へ！,"へ, Movement: toward, to",,,,,,,,,,,,,,,,,
1,や！,"や, And
to do/to have sexual intercourse/to kill/to give (to inferiors, animals, etc.)/to dispatch (a letter)/to send/to study/to perform/to play (sports, game)/to have (eat, drink, smoke)/to row (a boat)/to run or operate (a restaurant)",,,,,,,,,,,,,,,,,
1,よ！,"よ, You know?",,,,,,,,,,,,,,,,,
1,を！,"を, Direct object particle",,,,,,,,,,,,,,,,,
1,愛！,"愛, to love",,,,,,,,,,,,,,,,,
1,一！,"一, one",,,,,,,,,,,,,,,,,
1,右！,"右, right hand side",,,,,,,,,,,,,,,,,
1,雨！,"雨, rain",,,,,,,,,,,,,,,,,
1,運。,"運, to carry",,,,,,,,,,,,,,,,,
1,雲！,"雲, cloud",,,,,,,,,,,,,,,,,
1,猿！,"猿, monkey",,,,,,,,,,,,,,,,,
1,音！,"音, sound",,,,,,,,,,,,,,,,,
1,下。,"下, under, below, beneath",,,,,,,,,,,,,,,,,
1,何！,"何, what",,,,,,,,,,,,,,,,,
1,夏。,"夏, summer",,,,,,,,,,,,,,,,,
1,家。,"家, house, home, household, family",,,,,,,,,,,,,,,,,
1,暇？,"暇, (1) free time/leisure/leave/spare time (2) farewell",,,,,,,,,,,,,,,,,
1,歌。,"歌, a song, singing",,,,,,,,,,,,,,,,,
1,花！,"花, flower",,,,,,,,,,,,,,,,,
1,海！,"海, sea, ocean",,,,,,,,,,,,,,,,,
1,絵？,"絵, picture, painting, drawing",,,,,,,,,,,,,,,,,
1,間！,"間, between",,,,,,,,,,,,,,,,,
1,顔！,"顔, face",,,,,,,,,,,,,,,,,
1,机。,"机, desk",,,,,,,,,,,,,,,,,
1,牛！,"牛, cow",,,,,,,,,,,,,,,,,
